"","Gene","avg_fold_changes"
"1","TELO2",3786.54347594552
"2","ATP2B1",3043.26047268883
"3","SCAP",1450.63028379426
"4","SGMS1",1093.38805262334
"5","ANG",970.26538676864
"6","PDHB",828.092784068768
"7","PSMB2",612.336746746883
"8","MBTPS1",465.385777873569
"9","SREBF2",365.574832072984
"10","CNTD2",308.174904764354
"11","CMPK2",294.261967517423
"12","RNF170",281.448886683153
"13","FAM49B",279.707769333903
"14","CD109",245.050913861893
"15","RNF151",191.519474856077
"16","ARL6IP6",181.860135731913
"17","CNBD2",171.655780715449
"18","C2CD4C",167.534734141112
"19","MGAT5B",158.996665571233
"20","MYL7",154.777789579403
"21","PIGQ",139.345192329118
"22","C4orf27",129.571122976361
"23","MAEA",127.683308093026
"24","PCDHB1",126.719648249595
"25","ZCCHC18",107.990679858546
"26","SLC25A51",107.889510391624
"27","ITGA2",107.080687409963
"28","BMP6",95.8707917189927
"29","MBTPS2",95.33507676581
"30","OR5K1",91.9850376911926
"31","HYDIN",90.8839030370778
"32","ZFP62",89.4837467605828
"33","FIBIN",88.3961812310547
"34","TMEM241",83.8333525228775
"35","IL17RD",83.581491833704
"36","PTPRQ",75.5510189074612
"37","NAE1",68.8729619821552
"38","TTC34",67.6133137106035
"39","ZIC2",62.6172157729872
"40","OR6C4",62.2988420280002
"41","C1orf52",60.7107715045597
"42","RBM6",59.1043478114274
"43","CRYGN",57.2927041411542
"44","EVA1C",57.1190252724708
"45","DOM3Z",55.3090813259094
"46","NLGN2",54.1251517251454
"47","PRR13",53.9293210720045
"48","DGKG",52.5388416074943
"49","DCAF4L1",52.1535960023149
"50","COL5A1",49.6536735922233
"51","PCSK1N",48.7477802258253
"52","CABP5",47.7379488388529
"53","HABP4",45.8475459471811
"54","GK",45.336231814355
"55","GPX6",44.9442793040225
"56","NOC4L",44.8496492345331
"57","hsa-mir-10b",43.4778039962026
"58","MPC1L",42.6724060635181
"59","KCNMA1",42.1748719437696
"60","SALL4",41.9116909087086
"61","SLC26A3",41.3116022001713
"62","LGALS1",39.1161483632575
"63","MOXD1",38.3786531706628
"64","hsa-mir-635",37.5291863705755
"65","VPS25",37.2010924057108
"66","NABP1",37.0643106521416
"67","GABARAPL1",37.0270752050859
"68","CLDN2",36.4385112200277
"69","CDC25C",34.8234232093032
"70","hsa-mir-6132",34.6254936399155
"71","hsa-mir-27a",34.1927866789902
"72","PPAP2C",34.0689162308336
"73","PPP1R3C",33.5506791206785
"74","OR5B3",33.1066839627083
"75","WDR37",33.0593045023707
"76","BOLA1",32.2461030958739
"77","KAT8",32.1775926818367
"78","EFNB1",32.1602111210616
"79","BTN3A1",32.0899925923282
"80","RUSC2",31.7496361792587
"81","GPR84",31.6050510140061
"82","ATCAY",30.7652840502079
"83","COL22A1",30.0412329663173
"84","CTSZ",29.6008580728646
"85","ZFP41",29.1605627854936
"86","SCN3B",28.9665259567978
"87","CDCA7",28.6274944276232
"88","CRYM",28.3737499253401
"89","FOXP2",27.7965985968141
"90","HIST1H2AJ",27.7282153465503
"91","hsa-mir-3926-1",27.0219243864731
"92","EDA",26.751326269073
"93","LPAR1",25.6781285806573
"94","FA2H",25.5652365380699
"95","SUFU",25.4908998790447
"96","TMPO",25.4659985747029
"97","UTP11L",24.9910246805084
"98","BTBD1",24.9745570743587
"99","OCLN",24.7622168808166
"100","ICMT",24.7045557439226
"101","hsa-mir-7-2",24.6283729479295
"102","NPSR1",24.287767857723
"103","ADM2",24.1408638567587
"104","PTPRC",23.9827264433698
"105","IFNLR1",23.9430917688745
"106","PTPN5",23.8278664018827
"107","SHROOM2",23.6774336374748
"108","ANO1",22.1725469709891
"109","TRANK1",21.7780921586333
"110","SUPT4H1",21.5086449196004
"111","hsa-mir-151a",21.337385864398
"112","NDUFAF1",21.2406426600946
"113","PRSS58",21.1252733117139
"114","ASNS",20.8966284399914
"115","LOC100652824",20.8581108486111
"116","HHIP",20.5654997654871
"117","DSCAM",20.3516487737788
"118","ABCA1",20.0241994277061
"119","PRR19",20.0090460437518
"120","ZYG11A",19.9809968129082
"121","GMPR",19.7890438083193
"122","HLTF",19.7457997571847
"123","DEAF1",19.5805945465474
"124","KIR2DL4",19.531722852485
"125","FAM194B",19.4717473193278
"126","GMEB1",19.126649182162
"127","VPS45",19.1127923820879
"128","LTBP1",18.9763886404522
"129","AGR2",18.942655979452
"130","LAIR2",18.7896247264586
"131","C6orf7",18.2000623345959
"132","CBX6",17.8952532169543
"133","IFITM1",17.8741860982823
"134","CAPN1",17.6107270008525
"135","OR52I2",17.5824794411041
"136","ZKSCAN5",17.5447660815813
"137","MGAM",17.4202728631033
"138","TMEM204",17.0067331903129
"139","ATXN7L2",16.8637953329764
"140","RTP4",16.4054524242199
"141","SLC6A2",16.3108730727858
"142","SLC25A44",16.2906816240938
"143","PTP4A3",16.1627215427606
"144","FAM174A",15.9456583893038
"145","ADPGK",15.8981821602469
"146","CKM",15.7326347222391
"147","ZNF517",15.1912467246721
"148","CREB3L4",15.1799898925451
"149","C7orf65",15.1303291434247
"150","MS4A6A",14.9292260935545
"151","SPINK13",14.7849634065093
"152","KIF5B",14.5333371766862
"153","IGFBPL1",14.5180600431774
